host,ra,dec,id,period,color,mag,mag_err,offset,bias,phase,metallicity,flag,src
IN-NIC-12,184.73048,47.31999,8723,35.57,0.96,21.46,0.29,0.33,0.1,0.03,8.99,,1m
IN-NIC-13,184.73382,47.33895,24365,22.38,0.93,23.12,0.39,0.59,0.44,-0.1,8.91,,1m
IN-NIC-13,184.73069,47.33826,32759,42.31,0.95,22.14,0.26,0.99,0.19,-0.1,8.92,,1m
IN-NIC-03,184.69895,47.35497,117710,14.3,0.84,23.56,0.26,0.51,0.21,-0.06,8.89,,1m
IN-NIC-03,184.6987,47.35607,118782,25.56,0.89,22.34,0.2,0.41,0.09,-0.03,8.89,,1m
IN-NIC-04,184.69961,47.33411,102255,12.25,1.04,24.23,0.42,1.68,0.28,-0.1,8.92,rej,1m
IN-NIC-04,184.69929,47.33694,105183,23,1.11,22.85,0.29,1.18,0.26,-0.14,8.92,,1m
IN-NIC-04,184.69827,47.33338,104131,22.89,0.87,22.21,0.23,3.02,0.14,0.24,8.92,,1m
IN-NIC-04,184.70092,47.33803,103070,24.86,1.12,22.88,0.25,0.47,0.24,-0.05,8.92,,1m
NIC-POSIO,184.84596,47.24667,310420,45.4,0.86,21.34,0.18,0.17,0.03,0.19,8.74,,1m
NIC-POSII,184.83328,47.24912,312665,39.09,0.8,23.2,0.19,0.25,0.05,0.11,8.78,rej,1m
NIC-POS12,184.85726,47.22978,307758,32.4,1.02,22.23,0.18,0.2,0,0.22,8.71,,1m
NIC-POS13,184.72838,47.36342,999999,92,1,20.26,0.25,0.23,0.02,0.2,8.84,,1m
NIC-POSI,184.70981,47.3538,99783,14.31,0.8,23.41,0.36,5.59,0.16,-0.01,8.9,,1m
NIC-POSI,184.71165,47.3515,95003,20.57,1.21,23.24,0.26,0.92,0.13,0,8.9,,1m
NIC-POSI,184.70864,47.35115,99756,29.05,1.04,22.38,0.21,0.48,0.06,0.06,8.9,,1m
NIC-POSI,184.71263,47.35496,95995,36.79,1.05,22.25,0.21,0.21,0,-0.15,8.89,,1m
NIC-POS2,184.71006,47.34746,94632,16.03,1.14,23.17,0.38,2.89,0.02,-0.12,8.91,,1m
NIC-POS2,184.70643,47.34573,99411,17.02,0.98,22.97,0.28,0.59,0.16,-0.12,8.92,,1m
NIC-POS2,184.70905,47.34317,92950,16.7,1.01,23.39,0.35,0.71,0.09,0,8.92,,1m
NIC-POS2,184.70773,47.34559,97135,31.78,1.2,22.43,0.28,0.57,0.15,-0.11,8.92,,1m
NIC-POS3,184.69961,47.33411,102255,12.25,1.04,23.66,0.3,0.46,0.52,-0.13,8.92,,1m
NIC-POS3,184.69929,47.33694,105183,23,1.11,22.85,0.28,1.06,0.15,-0.12,8.92,,1m
NIC-POS3,184.69827,47.33338,104131,22.89,0.87,22.03,0.25,0.98,0.09,0.21,8.92,,1m
NIC-POS3,184.69648,47.3331,106960,28.26,0.97,22.51,0.19,0.4,0.08,0.18,8.92,,1m
NIC-POS4,184.70931,47.32443,74725,11.99,0.81,23.18,0.68,0.14,0.15,-0.08,8.95,,1m
NIC-POS4,184.7144,47.32211,59576,12.65,1.1,23.43,0.36,7.48,0.7,0.15,8.96,,1m
NIC-POS4,184.70898,47.32425,75254,16.52,0.98,23.02,0.26,0.34,0.42,-0.04,8.95,,1m
NIC-POS4,184.71341,47.32261,62769,33.02,0.77,21.93,0.25,0.66,0.09,-0.05,8.96,,1m
